a1	a4	G_theta	G_k	U_b	U_a	epsilon	mia	obj	delta
0.1	0.1	1	2	2	1	1.9036666666666666	-0.21447728061910737	3.5	2.4094488569600773e-104
0.1	0.1	1	2	2	1	2.0033333333333334	-0.179313630905588	3.5	6.941898220490081e-110
0.1	0.1	1	2	2	1	2.1029999999999998	-0.14046473965773493	3.5	2.0000404144060471e-115
0.1	0.1	1	2	2	1	2.2026666666666666	-0.09754438402106541	3.5	5.762345589352193e-121
0.1	0.1	1	2	2	1	2.3023333333333333	-0.05012586398595403	3.5	1.6601977866026003e-126
0.1	0.1	1	2	2	1	2.4019999999999997	0.0022622397230282476	3.5	4.78322004104268e-132
0.1	0.1	1	2	2	1	2.5016666666666665	0.06014075234195676	3.5	1.3781004977636198e-137
0.1	0.1	1	2	2	1	2.6013333333333333	0.12408508294014747	3.5	3.9704654304850766e-143
0.1	0.1	1	2	2	1	2.7009999999999996	0.19473094494720705	3.5	1.1439365822928523e-148
0.1	0.1	1	2	2	1	2.8006666666666664	0.2727806762061305	3.5	3.295812360587422e-154
0.1	0.1	1	2	2	1	2.900333333333333	0.35901022138432387	3.5	9.495613029901356e-160
0.1	0.1	1	2	2	1	3.0	0.4027022850505293	3.5	2.7357949102891815e-165
0.1	0.1	2	2	1	0	0.01	-0.4489049251101788	4.5	0.053312608190069784
0.1	0.1	2	2	1	0	0.10966666666666666	-0.49420454441140366	4.5	1.5359973250947839e-07
0.1	0.1	2	2	1	0	0.20933333333333334	-0.48835720589923043	4.5	4.425384281119792e-13
0.1	0.1	2	2	1	0	0.309	-0.48189688147482884	4.5	1.2750039154120014e-18
0.1	0.1	2	2	1	0	0.4086666666666667	-0.47475949832343983	4.5	3.6734323643970324e-24
0.1	0.1	2	2	1	0	0.5083333333333333	-0.4668740989379499	4.5	1.058357952684343e-29
0.1	0.1	2	2	1	0	0.608	-0.4581622892802905	4.5	3.049250523478866e-35
0.1	0.1	2	2	1	0	0.7076666666666667	-0.448537459414229	4.5	8.785240127268416e-41
0.1	0.1	2	2	1	0	0.8073333333333333	-0.43790392245796833	4.5	2.531128337914086e-46
0.1	0.1	2	2	1	0	0.907	-0.4261559632967505	4.5	7.292470746594973e-52
0.1	0.1	2	2	1	0	1.0066666666666666	-0.413176787598077	4.5	2.1010443758758967e-57
0.1	0.1	2	2	1	0	1.1063333333333334	-0.39883736068100467	4.5	6.053349574917019e-63
0.1	0.1	2	2	1	0	1.206	-0.3829951246959356	4.5	1.7440393690339412e-68
0.1	0.1	2	2	1	0	1.3056666666666668	-0.3654925813615288	4.5	5.0247772462106935e-74
0.1	0.1	2	2	1	0	1.4053333333333333	-0.3461557261687703	4.5	1.4476958962241223e-79
0.1	0.1	2	2	1	0	1.5050000000000001	-0.3247923184855757	4.5	4.170977747371022e-85
0.1	0.1	2	2	1	0	1.6046666666666667	-0.30118997036387646	4.5	1.201706478165733e-90
0.1	0.1	2	2	1	0	1.7043333333333333	-0.2751140350487395	4.5	3.462254049606733e-96
0.1	0.1	2	2	1	0	1.804	-0.24630527419777665	4.5	9.975150606090575e-102
0.1	0.1	2	2	1	0	1.9036666666666666	-0.21447728061910737	4.5	2.873955180310766e-107
0.1	0.1	2	2	1	0	2.0033333333333334	-0.179313630905588	4.5	8.280194159065368e-113
0.1	0.1	2	2	1	0	2.1029999999999998	-0.14046473965773493	4.5	2.3856188078900537e-118
0.1	0.1	2	2	1	0	2.2026666666666666	-0.09754438402106541	4.5	6.873241118781726e-124
0.1	0.1	2	2	1	0	2.3023333333333333	-0.05012586398595403	4.5	1.980259516762206e-129
0.1	0.1	2	2	1	0	2.4019999999999997	0.0022622397230282476	4.5	5.705354556836174e-135
0.1	0.1	2	2	1	0	2.5016666666666665	0.06014075234195676	4.5	1.6437780171576496e-140
0.1	0.1	2	2	1	0	2.6013333333333333	0.12408508294014747	4.5	4.735912803969706e-146
0.1	0.1	2	2	1	0	2.7009999999999996	0.19473094494720705	4.5	1.3644707407383705e-151
0.1	0.1	2	2	1	0	2.8006666666666664	0.2727806762061305	4.5	3.931196538860348e-157
0.1	0.1	2	2	1	0	2.900333333333333	0.35901022138432387	4.5	1.1326227646907713e-162
0.1	0.1	2	2	1	0	3.0	0.4027022850505293	4.5	3.263215955790548e-168
0.1	0.1	2	2	2	1	0.01	0.30271242731978365	5.5	8.886242487639754
0.1	0.1	2	2	2	1	0.10966666666666666	-0.4941790957283844	5.5	2.5602282751757473e-05
