a1	a4	G_theta	G_k	U_b	U_a	epsilon	mia	obj	delta
0.1	0.1	2	2	2	1	0.5083333333333333	-0.4668740989379499	5.5	8.339550740099046e-29
0.1	0.1	2	2	2	1	0.608	-0.4581622892802905	5.5	2.402720118966209e-34
0.1	0.1	2	2	2	1	0.7076666666666667	-0.448537459414229	5.5	6.922511955381938e-40
0.1	0.1	2	2	2	1	0.8073333333333333	-0.43790392245796833	5.5	1.9944550093093807e-45
0.1	0.1	2	2	2	1	0.907	-0.4261559632967505	5.5	5.746253397318705e-51
0.1	0.1	2	2	2	1	1.0066666666666666	-0.413176787598077	5.5	1.6555614417008279e-56
0.1	0.1	2	2	2	1	1.1063333333333334	-0.39883736068100467	5.5	4.769862200169288e-62
0.1	0.1	2	2	2	1	1.206	-0.3829951246959356	5.5	1.3742519507600267e-67
0.1	0.1	2	2	2	1	1.3056666666666668	-0.3654925813615288	5.5	3.959377325618878e-73
0.1	0.1	2	2	2	1	1.4053333333333333	-0.3461557261687703	5.5	1.140741972238453e-78
0.1	0.1	2	2	2	1	1.5050000000000001	-0.3247923184855757	5.5	3.2866083229969435e-84
0.1	0.1	2	2	2	1	1.6046666666666667	-0.30118997036387646	5.5	9.469095143047086e-90
0.1	0.1	2	2	2	1	1.7043333333333333	-0.2751140350487395	5.5	2.728154803256771e-95
0.1	0.1	2	2	2	1	1.804	-0.24630527419777665	5.5	7.860126567634984e-101
0.1	0.1	2	2	2	1	1.9036666666666666	-0.21447728061910737	5.5	2.2645925218572815e-106
0.1	0.1	2	2	2	1	2.0033333333333334	-0.179313630905588	5.5	6.524550522085281e-112
0.1	0.1	2	2	2	1	2.1029999999999998	-0.14046473965773493	5.5	1.879797760717296e-117
0.1	0.1	2	2	2	1	2.2026666666666666	-0.09754438402106541	5.5	5.415912727223683e-123
0.1	0.1	2	2	2	1	2.3023333333333333	-0.05012586398595403	5.5	1.5603865097546918e-128
0.1	0.1	2	2	2	1	2.4019999999999997	0.0022622397230282476	5.5	4.495652316525978e-134
0.1	0.1	2	2	2	1	2.5016666666666665	0.06014075234195676	5.5	1.2952489415113947e-139
0.1	0.1	2	2	2	1	2.6013333333333333	0.12408508294014747	5.5	3.731760604171477e-145
0.1	0.1	2	2	2	1	2.7009999999999996	0.19473094494720705	5.5	1.0751629868615914e-150
0.1	0.1	2	2	2	1	2.8006666666666664	0.2727806762061305	5.5	3.0976677523871385e-156
0.1	0.1	2	2	2	1	2.900333333333333	0.35901022138432387	5.5	8.924735711176825e-162
0.1	0.1	2	2	2	1	3.0	0.4027022850505293	5.5	2.5713186139144197e-167
0.1	0.1	3	2	1	0	0.01	-0.461115812385605	6.5	0.0383816792601865
0.1	0.1	3	2	1	0	0.10966666666666666	-0.4942045874291206	6.5	1.1058201554519623e-07
0.1	0.1	3	2	1	0	0.20933333333333334	-0.48835720589935433	6.5	3.1859945676536706e-13
0.1	0.1	3	2	1	0	0.309	-0.48189688147482884	6.5	9.179215386040815e-19
0.1	0.1	3	2	1	0	0.4086666666666667	-0.47475949832343983	6.5	2.6446371239540538e-24
0.1	0.1	3	2	1	0	0.5083333333333333	-0.4668740989379499	6.5	7.619502564491813e-30
0.1	0.1	3	2	1	0	0.608	-0.4581622892802905	6.5	2.1952659895923447e-35
0.1	0.1	3	2	1	0	0.7076666666666667	-0.448537459414229	6.5	6.324812839514118e-41
0.1	0.1	3	2	1	0	0.8073333333333333	-0.43790392245796833	6.5	1.8222510458657972e-46
0.1	0.1	3	2	1	0	0.907	-0.4261559632967505	6.5	5.250114048298202e-52
0.1	0.1	3	2	1	0	1.0066666666666666	-0.413176787598077	6.5	1.5126180107111599e-57
0.1	0.1	3	2	1	0	1.1063333333333334	-0.39883736068100467	6.5	4.3580257976859943e-63
0.1	0.1	3	2	1	0	1.206	-0.3829951246959356	6.5	1.2555971645721634e-68
0.1	0.1	3	2	1	0	1.3056666666666668	-0.3654925813615288	6.5	3.6175192916909935e-74
0.1	0.1	3	2	1	0	1.4053333333333333	-0.3461557261687703	6.5	1.0422487558114232e-79
0.1	0.1	3	2	1	0	1.5050000000000001	-0.3247923184855757	6.5	3.0028380815701216e-85
0.1	0.1	3	2	1	0	1.6046666666666667	-0.30118997036387646	6.5	8.651520564404932e-91
0.1	0.1	3	2	1	0	1.7043333333333333	-0.2751140350487395	6.5	2.4926021997557912e-96
0.1	0.1	3	2	1	0	1.804	-0.24630527419777665	6.5	7.181472528412789e-102
0.1	0.1	3	2	1	0	1.9036666666666666	-0.21447728061910737	6.5	2.0690645174509546e-107
0.1	0.1	3	2	1	0	2.0033333333333334	-0.179313630905588	6.5	5.961211938689404e-113
0.1	0.1	3	2	1	0	2.1029999999999998	-0.14046473965773493	6.5	1.7174934603660785e-118
