a1	a3	a4	G_theta	G_k	E_lambda	U_b	U_a	epsilon	mia	obj	delta
0.1	0.1	0.1	1	2	5	1	0	0.309	-0.4818898744083037	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	0.4086666666666667	-0.4747594333868648	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	0.5083333333333333	-0.46687409838227095	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	0.608	-0.4581622892756437	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	0.7076666666666667	-0.44853745941419015	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	0.8073333333333333	-0.437903922457968	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	0.907	-0.4261559632967505	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	1.0066666666666666	-0.413176787598077	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	1.1063333333333334	-0.39883736068100467	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	1.206	-0.3829951246959356	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	1.3056666666666668	-0.3654925813615288	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	1.4053333333333333	-0.3461557261687703	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	1.5050000000000001	-0.3247923184855757	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	1.6046666666666667	-0.30118997036387646	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	1.7043333333333333	-0.2751140350487395	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	1.804	-0.24630527419777665	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	1.9036666666666666	-0.21447728061910737	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	2.0033333333333334	-0.179313630905588	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	2.1029999999999998	-0.14046473965773493	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	2.2026666666666666	-0.09754438402106541	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	2.3023333333333333	-0.05012586398595403	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	2.4019999999999997	0.0022622397230282476	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	2.5016666666666665	0.06014075234195676	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	2.6013333333333333	0.12408508294014747	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	2.7009999999999996	0.19473094494720705	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	2.8006666666666664	0.2727806762061305	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	2.900333333333333	0.35901022138432387	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	3.0	0.4027022850505293	2.7	nan
0.1	0.1	0.1	1	2	5	2	1	0.01	0.45	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	0.10966666666666666	0.45	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	0.20933333333333334	-0.4408453828489239	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	0.309	-0.4812249858091426	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	0.4086666666666667	-0.47475238411503823	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	0.5083333333333333	-0.466874032983195	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	0.608	-0.4581622887156866	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	0.7076666666666667	-0.44853745940950757	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	0.8073333333333333	-0.4379039224579288	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	0.907	-0.42615596329675015	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	1.0066666666666666	-0.413176787598077	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	1.1063333333333334	-0.39883736068100467	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	1.206	-0.3829951246959356	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	1.3056666666666668	-0.3654925813615288	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	1.4053333333333333	-0.3461557261687703	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	1.5050000000000001	-0.3247923184855757	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	1.6046666666666667	-0.30118997036387646	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	1.7043333333333333	-0.2751140350487395	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	1.804	-0.24630527419777665	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	1.9036666666666666	-0.21447728061910737	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	2.0033333333333334	-0.179313630905588	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	2.1029999999999998	-0.14046473965773493	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	2.2026666666666666	-0.09754438402106541	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	2.3023333333333333	-0.05012586398595403	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	2.4019999999999997	0.0022622397230282476	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	2.5016666666666665	0.06014075234195676	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	2.6013333333333333	0.12408508294014747	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	2.7009999999999996	0.19473094494720705	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	2.8006666666666664	0.2727806762061305	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	2.900333333333333	0.35901022138432387	3.7	nan
0.1	0.1	0.1	1	2	5	2	1	3.0	0.4027022850505293	3.7	nan
0.1	0.1	0.1	2	2	0.5	1	0	0.01	0.45	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	0.10966666666666666	0.45	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	0.20933333333333334	0.45	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	0.309	0.45	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	0.4086666666666667	0.45	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	0.5083333333333333	0.45	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	0.608	0.44264509574449545	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	0.7076666666666667	0.31870772464903346	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	0.8073333333333333	0.19068222266090662	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	0.907	0.08883005426661045	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	1.0066666666666666	0.008739286030327642	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	1.1063333333333334	-0.053171328759841596	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	1.206	-0.10193774865692423	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	1.3056666666666668	-0.1570718395686858	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	1.4053333333333333	-0.1915993639708629	6.5	nan
